time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
0.00000000,0.03268390,0.02483753,0.27110000,0.80863535,0.25239364,1.08354723
0.10000014,0.01264674,0.05121396,0.28720000,0.73415611,0.27915879,1.09812853
0.20000005,0.01216489,0.05827474,0.31510000,0.71393113,0.29105470,1.11523555
0.30000019,0.02541306,0.00062146,0.19290000,0.73746354,0.22390404,0.94280298
0.40100002,0.02581846,0.00716569,0.19200000,0.72751721,0.22780318,0.93511259
0.50100017,0.02191000,0.00400647,0.20300000,0.71927021,0.22729565,1.00890731
0.60100007,0.02623094,0.00965339,0.18990000,0.70524072,0.23916307,0.95730174
0.70100021,0.02897539,0.01203316,0.20200000,0.77548381,0.23846059,1.01590190
0.80100012,0.02375317,0.00913274,0.18000000,0.72633270,0.23523687,0.92709538
0.90100002,0.02237934,0.02001163,0.10990000,0.71184082,0.25672964,0.87729794
1.00100017,0.02306440,0.01596225,0.12790000,0.73754299,0.25608596,0.90475136
1.10100007,0.02408948,0.01802823,0.12990000,0.74634731,0.25753922,0.90547313
1.20100021,0.01861372,0.02160508,0.13990000,0.73208468,0.26460987,0.92039501
1.30100012,0.02730329,0.01957500,0.14190000,0.78062963,0.25816903,0.90914058
1.40200019,0.02673224,0.01726347,0.14590000,0.77185923,0.25311578,0.90531559
1.50200009,0.02886844,0.01452251,0.16090000,0.78550379,0.25391959,0.91669364
1.60200000,0.03120702,0.00931513,0.16900000,0.78409505,0.22999043,0.92667414
1.70200014,0.03436335,0.00812221,0.16990000,0.78098911,0.23301198,0.92509444
1.80200005,0.03371054,0.00664902,0.17800000,0.77344578,0.23475202,0.90318096
1.90200019,0.01853398,0.01039768,0.15900000,0.70865236,0.24037797,0.86573456
2.00200009,0.02091649,0.00803744,0.15590000,0.69311806,0.22831346,0.86178515
2.10200000,0.02207966,0.00492631,0.16990000,0.69830340,0.22366249,0.85272935
2.20200014,0.02530540,0.00008313,0.15790000,0.76024015,0.21758151,0.82749565
2.30200005,0.01833341,0.00036913,0.14800000,0.71847072,0.21415538,0.80635372
2.40300012,0.02530980,0.00195549,0.13800000,0.79893354,0.21515538,0.82052690
2.50300002,0.03333380,0.00178826,0.15900000,0.82201689,0.21867270,0.84988249
2.60300016,0.03191056,0.00411896,0.15090000,0.78564892,0.22134709,0.84936888
2.70300007,0.02489481,0.01048278,0.15500000,0.75254086,0.22367405,0.87570423
2.80300021,0.01956213,0.00901792,0.14800000,0.67691987,0.21513181,0.86935950
2.90300012,0.01564277,0.00242356,0.13300000,0.66432705,0.20298727,0.84732282
3.00300002,0.01548336,0.00634631,0.14090000,0.63621250,0.21168981,0.84417501
3.10300016,0.02031639,0.00670853,0.14600000,0.63325057,0.20789460,0.85157720
3.20300007,0.01989209,0.00512297,0.13800000,0.63568878,0.20263892,0.84101118
3.30300021,0.01967517,0.00806520,0.14000000,0.68346039,0.20603183,0.86597300
3.40300012,0.01591087,0.00907162,0.12600000,0.67609677,0.21195576,0.86593702
3.50400019,0.01508190,0.01139764,0.12200000,0.68554993,0.21633280,0.90701129
3.60400009,0.01480132,0.01045662,0.10700000,0.68793962,0.21322877,0.84848712
3.70400000,0.01589929,0.01490311,0.12410000,0.69862170,0.21389991,0.87892240
3.80400014,0.01388926,0.01261064,0.11600000,0.66534571,0.21827597,0.84165600
3.90400004,0.01072301,0.00984668,0.12300000,0.64444464,0.21974135,0.88306734
4.00400019,0.01245849,0.00029345,0.10200000,0.63656775,0.21518497,0.84760347
4.10400009,0.01265602,0.00214361,0.11000000,0.59991556,0.21323997,0.81884771
4.20400000,0.01560512,0.00216336,0.11000000,0.59815487,0.20983225,0.82288363
4.30400014,0.01395609,0.00249147,0.10700000,0.59346651,0.20524819,0.81791904
4.40400004,0.01415349,0.00691149,0.11900000,0.62906351,0.21369872,0.82201751
4.50500011,0.01740297,0.00820407,0.09800000,0.67257824,0.21203739,0.81935795
4.60500002,0.02257006,0.01110282,0.09400000,0.66668323,0.21635921,0.81129479
4.70500016,0.02449051,0.01457858,0.10400000,0.69325858,0.22442573,0.81782516
4.80500007,0.01763101,0.01265099,0.09800000,0.71673132,0.22833331,0.82432369
4.90500021,0.00999029,0.00509550,0.08000000,0.64313921,0.21612802,0.82779892
5.00500011,0.01281531,0.00350254,0.07600000,0.66732371,0.21564044,0.82653130
5.10500002,0.01257989,0.00329187,0.07900000,0.66053026,0.22468058,0.82884383
5.20500016,0.00920553,0.00602895,0.07500000,0.68182325,0.22539681,0.83105996
5.30500007,0.00403748,0.01507709,0.07700000,0.66898741,0.23052901,0.83211464
5.40500021,0.00843745,0.01541783,0.07310000,0.64910339,0.22890840,0.85306638
5.50600004,0.00883413,0.01785520,0.07500000,0.63099358,0.23411924,0.81805661
5.60600019,0.00809111,0.01065194,0.07900000,0.61081529,0.22963315,0.82505611
5.70600009,0.00620132,0.01200473,0.08000000,0.61694877,0.23535857,0.82511097
5.80599999,0.00753102,0.01945157,0.06800000,0.63792570,0.24197010,0.78023337
5.90600014,0.00469329,0.02573894,0.06800000,0.63863579,0.25386211,0.78892498
6.00600004,0.00587842,0.02911399,0.07100000,0.64030958,0.26445582,0.80666248
6.10600019,0.00396960,0.02623380,0.08300000,0.65582371,0.25776694,0.81627147
6.20600009,0.00461741,0.02884665,0.08610000,0.65856301,0.25941559,0.81999782
6.30599999,0.00026633,0.02429442,0.07710000,0.66634706,0.25635920,0.82326427
6.40600014,0.00430874,0.02951753,0.08110000,0.62357495,0.25573254,0.80905816
6.50600004,0.00422600,0.03792415,0.08710000,0.62104958,0.26629221,0.80455632
6.60700011,0.00227051,0.05807663,0.08280000,0.63316287,0.29745406,0.75924195
6.70700002,0.00152815,0.02957896,0.08100000,0.63118909,0.25601466,0.79344083
6.80700016,0.00485121,0.06911032,0.07980000,0.64464932,0.29840125,0.77860911
