time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
7.50300002,0.00697060,0.00710076,0.02000000,0.70736174,0.21043908,0.78415949
7.60299993,0.00004116,0.00313979,0.01800000,0.70295019,0.21519174,0.76733360
7.70300007,0.00144683,0.00090922,0.02100000,0.71336966,0.20462261,0.80395614
7.80299997,0.00293113,0.00193352,0.02600000,0.68715172,0.20487070,0.86893450
7.90300012,0.00596223,0.00346147,0.03300000,0.69187714,0.19832755,0.89239863
8.00300002,0.00469004,0.00109706,0.03700000,0.70217685,0.19789286,0.88140744
8.10299993,0.00598873,0.00183170,0.04100000,0.73783791,0.19518307,0.87631036
8.20400000,0.00518320,0.00214346,0.05000000,0.74877769,0.19548391,0.86268637
8.30399990,0.00721777,0.00815866,0.05700000,0.79735620,0.21266647,0.88224660
8.40400004,0.00470316,0.00060854,0.04500000,0.76557885,0.19126911,0.89078282
8.50399995,0.00326439,0.00118057,0.03600000,0.79541621,0.18976558,0.85779340
8.60400009,0.00309816,0.00242104,0.03300000,0.77428272,0.19378988,0.85702730
8.70400000,0.00846238,0.00393930,0.03100000,0.82629905,0.19677393,0.84618287
8.80399990,0.00956676,0.00645966,0.03200000,0.83918919,0.20307136,0.86687576
8.90400004,0.00744513,0.00092739,0.03700000,0.83462741,0.18639839,0.89582939
9.00399995,0.00195626,0.00427470,0.03700000,0.76222156,0.19302224,0.87495203
9.10400009,0.00774629,0.00598038,0.01500000,0.83785717,0.18907655,0.81119934
9.20400000,0.00393725,0.00520942,0.00200000,0.78112178,0.18766079,0.82309969
9.30399990,0.00233425,0.00426278,0.00400000,0.78320658,0.18005086,0.83015777
9.40400004,0.00233815,0.00660175,0.00400000,0.78983431,0.18099869,0.81715087
9.50399995,0.00458185,0.00767702,0.00800000,0.82027653,0.19837444,0.80081128
9.60400009,0.00904753,0.01182126,0.00800000,0.86416537,0.19297668,0.80130343
9.70400000,0.01149370,0.01081919,0.00700000,0.83377043,0.18876104,0.81919411
9.80399990,0.00768656,0.01076925,0.00500000,0.86005067,0.19351045,0.81567579
9.90400004,0.00112813,0.00810600,0.00100000,0.79987099,0.18437002,0.80794723
10.00399995,0.00607456,0.00396354,0.02000000,0.81836934,0.19091785,0.82589559
10.10400009,0.00716034,0.00154255,0.02500000,0.80423617,0.19331042,0.82981843
10.20400000,0.01002685,0.00017979,0.01600000,0.85001803,0.18938865,0.86948705
10.30399990,0.01001275,0.00346334,0.02400000,0.86181114,0.19329969,0.88342376
10.40400004,0.00662296,0.00027641,0.02700000,0.83588975,0.19624095,0.86940139
10.50399995,0.00148417,0.00115206,0.02700000,0.83484304,0.19045745,0.91350240
10.60400009,0.00510338,0.00099775,0.02600000,0.81714862,0.18772700,0.87939453
10.70400000,0.00947619,0.00119242,0.02300000,0.82649540,0.19138355,0.88065934
10.80500007,0.00568820,0.00006619,0.03400000,0.80134350,0.19227415,0.86594663
